Timestamp,I am a software developer working in the industry professionally for:,I work/worked for projects in the following countries (list provided by https://www.listofcountriesoftheworld.com/):,I write/wrote code professionally in the following languages (programming languages listed are from https://www.tiobe.com/tiobe-index):,"I am familiar with testing tools such as Junit, Jest, PHPUnit or any other framework that provides a common ground to write tests.",I learned TDD at work,"I learned TDD myself, through books, videos courses or tutorials.",People that I work/worked with already knew TDD,The people I work with practice TDD as part of daily work,I practice TDD as part of my daily workflow.,I feel that TDD makes me go slower than if I wasn't doing it,I am not allowed to push code for review without a test case with it,"The companies I work/worked at, required TDD to join them as part of the job description.",Companies I work/worked at do not practice TDD,Companies I work/worked at argued that TDD requires more time to complete a task and the teams didn't have the required time to use it.,Companies I work/worked at value the TDD practice and acknowledge its pros and cons,I can recall in my mind at least one TDD anti pattern,From the following list check the anti patterns you can recall,I could spot at least one TDD anti pattern in the code base I work/worked on professionally.,I feel that TDD anti patterns slows me down,"When I tried to practice TDD in a code base without tests, I felt that I was slowed down by writing the test first.","If you want to be notified when the results are published, leave your email address on the box that follows.",I write test because I am worried about the code coverage,"I write tests, but without TDD because the project I am working on demands tests."
9/15/2021 23:08:03,Between 5 and 10 years,Brazil,"Javascript, PHP",Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly Agree,Neutral,Agree,Disagree,"The liar, The mockery",Agree,Disagree,Disagree,,Agree,Disagree
9/16/2021 0:01:43,Between 5 and 10 years,"Brazil, United States","Javascript, PHP, SQL, Typescript",Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Disagree,,Neutral,Neutral,Strongly Agree,,Disagree,Agree
9/16/2021 6:51:33,Between 10 and 20 years,"Andorra, France, Netherlands, Portugal, Spain, United Kingdom","C, Python, Java, C++, C#, Visual Basic, Javascript, Assembly language, PHP, SQL, Groovy, Ruby, Perl, Typescript",Strongly Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Strongly disagree,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,"The liar, The giant, The mockery, Hidden dependency, The stranger, The one",Strongly Agree,Agree,Agree,,Strongly disagree,Neutral
9/17/2021 10:31:37,Between 10 and 20 years,"Germany, Saudi Arabia, Spain, United Kingdom","Java, Javascript, Typescript",Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Strongly disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,"The liar, The giant, The mockery, The local hero, The greedy catcher, Hidden dependency, Success against all odds, The one",Agree,Strongly Agree,Neutral,,Disagree,Agree
9/17/2021 12:36:34,Between 20 and 30 years,United Kingdom,"C++, C#, Visual Basic, Javascript, PHP, SQL, Groovy, Ruby, Fortran, Perl, Delphi, Scala, Typescript, Other",Strongly Agree,Neutral,Strongly Agree,Strongly disagree,Agree,Agree,Strongly disagree,Disagree,Disagree,Neutral,Strongly disagree,Strongly Agree,Strongly disagree,"Generous leftovers, Excessive setup, Hidden dependency, Success against all odds",Neutral,Neutral,Strongly disagree,,Disagree,Strongly disagree
9/17/2021 13:56:09,Between 10 and 20 years,Spain,"Java, Javascript, SQL",Strongly Agree,Disagree,Strongly Agree,Strongly disagree,Neutral,Agree,Disagree,Disagree,Strongly disagree,Disagree,Neutral,Disagree,Strongly Agree,"The liar, The giant, The mockery, Excessive setup, Hidden dependency",Strongly Agree,Strongly disagree,Strongly disagree,,Strongly disagree,Strongly disagree
9/17/2021 14:24:04,Between 10 and 20 years,"Spain, Venezuela","Python, Java, C#, Javascript, PHP, SQL, Kotlin, Typescript, Rust",Strongly Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,,Strongly disagree,Neutral,Disagree,,Disagree,Disagree
9/17/2021 14:55:33,Between 3 and 5 years,Brazil,"Javascript, PHP, SQL",Agree,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Agree,Agree,Neutral,Disagree,"The stranger, The slow poke",Disagree,Agree,Agree,,Agree,Disagree
9/17/2021 17:02:17,Between 20 and 30 years,"Cyprus, Lithuania, United Kingdom, United States","C, Python, C++, C#, Javascript, PHP, Objective C, Typescript, Other",Strongly Agree,Disagree,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Agree,The one,Disagree,Agree,Agree,,Neutral,Agree
9/18/2021 19:53:49,Between 1 and 3 years,Spain,"Java, Kotlin",Strongly Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Neutral,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly disagree,Agree,"The secret catcher, Hidden dependency, Success against all odds",Agree,Strongly Agree,Strongly Agree,,Strongly disagree,Disagree
