Timestamp,I am a software developer working in the industry professionally for:,I work/worked for projects in the following countries (list provided by https://www.listofcountriesoftheworld.com/):,I write/wrote code professionally in the following languages (programming languages listed are from https://www.tiobe.com/tiobe-index):,How many years of experience do you have doing Testing?,"I am familiar with testing tools such as Junit, Jest, PHPUnit or any other framework that provides a common ground to write tests.",I learned TDD at work,"I learned TDD myself, through books, videos courses or tutorials.",People that I work/worked with already knew TDD,The people I work with practice TDD as part of daily work,I practice TDD as part of my daily workflow.,I feel that TDD makes me go slower than if I wasn't doing it,I am not allowed to push code for review without a test case with it,"The companies I work/worked at, required TDD to join them as part of the job description.",Companies I work/worked at do not practice TDD,Companies I work/worked at argued that TDD requires more time to complete a task and the teams didn't have the required time to use it.,Companies I work/worked at value the TDD practice and acknowledge its pros and cons,I can recall in my mind at least one TDD anti pattern,From the following list check the anti patterns you can recall,I could spot at least one TDD anti pattern in the code base I work/worked on professionally.,I feel that TDD anti patterns slows me down,"When I tried to practice TDD in a code base without tests, I felt that I was slowed down by writing the test first.",I write test because I am worried about the code coverage,"I write tests, but without TDD because the project I am working on demands tests.","If you want to be notified when the results are published, leave your email address on the box that follows."
9/14/2022 10:49:30,Between 5 and 10 years,"Spain, United Kingdom, United States","Python, C#, Visual Basic, Javascript, SQL, R, Scala",Between 1 and 3 years,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Strongly disagree,,Strongly disagree,Neutral,Strongly Agree,Agree,Neutral,
9/14/2022 10:50:37,Between 10 and 20 years,"Spain, United States","Javascript, PHP, GO, Typescript",Between 5 and 10 years,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Disagree,,Disagree,Disagree,Neutral,Strongly disagree,Disagree,
9/14/2022 10:53:35,Between 5 and 10 years,"Germany, Spain, Switzerland, United States","Javascript, Typescript",Between 3 and 5 years,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Strongly disagree,,Strongly disagree,Neutral,Agree,Strongly disagree,Agree,
9/14/2022 10:59:18,Between 10 and 20 years,"Spain, Thailand, United States","Python, C++, C#, Javascript, PHP, SQL, Lua, Other",Between 5 and 10 years,Strongly Agree,Strongly disagree,Strongly Agree,Neutral,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly Agree,Agree,Strongly disagree,Neutral,"The liar, The giant, The mockery, Generous leftovers, The local hero, The nitipicker, Excessive setup, Hidden dependency, The stranger, The one",Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,
9/14/2022 11:05:55,Between 5 and 10 years,Spain,"PHP, GO",Between 5 and 10 years,Strongly Agree,Disagree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Neutral,Agree,The liar,Agree,Neutral,Neutral,Disagree,Strongly disagree,
9/14/2022 11:28:16,Between 3 and 5 years,Spain,"Python, Java, C#, Javascript, SQL, GO, Typescript",Between 3 and 5 years,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,"The liar, The giant, The mockery, Hidden dependency",Strongly Agree,Strongly Agree,Agree,Strongly disagree,Strongly disagree,
9/14/2022 11:29:11,Between 10 and 20 years,"Saudi Arabia, Spain, United Kingdom, United States","C#, Swift, Kotlin",Between 10 and 20 years,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly disagree,Strongly Agree,Strongly disagree,Agree,Strongly disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,"The liar, The inspector, The local hero, Excessive setup, Hidden dependency",Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,
9/14/2022 11:29:13,Between 10 and 20 years,"Spain, United Kingdom",C#,Between 5 and 10 years,Strongly Agree,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly disagree,Agree,Disagree,,Strongly disagree,Neutral,Neutral,Disagree,Disagree,
9/14/2022 11:29:59,Between 1 and 3 years,"Spain, United States","Java, Javascript, PHP, SQL, Other",I have no experience in professional projects,Neutral,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly Agree,Disagree,Disagree,Strongly disagree,,Strongly disagree,Neutral,Neutral,Strongly disagree,Neutral,
9/14/2022 11:30:36,Between 20 and 30 years,Spain,"Java, C++, Visual Basic, Javascript, PHP, SQL, Groovy",Between 10 and 20 years,Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly disagree,Neutral,Strongly disagree,Disagree,Neutral,Neutral,Strongly disagree,,Strongly disagree,Neutral,Strongly Agree,Agree,Strongly disagree,
